doc_id,content_type,source_language,target_language,client,brand,tone,source_segment,mt_segment,pe_segment,translation_direction
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Bonjour,","Hello,","Hello,",customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Mes livres #PRS_ORG# empruntés restent toujours protégés par les #PRS_ORG#, même après avoir fait et suivi à la lettre votre résolutions de problème.","My borrowed #PRS_ORG# books are still protected by #PRS_ORG#, even after you have done and followed your problem resolutions to the letter.","My borrowed #PRS_ORG# books are still protected by #PRS_ORG#, even after following your troubleshooting steps to the letter.",customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Ça ne fonctionne pas et ça fait plusieurs fois que je refais le processus...  Est-ce un problème de compatibilité avec #PRS_ORG#?,It doesn't work and it's been several times since I started the process... is it a compatibility problem with #PRS_ORG#?,It doesn't work and I've been through this process several times... Is it a compatibility issue with #PRS_ORG#?,customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Merci.,Thank you.,Thank you.,customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,#EMAIL#,#EMAIL#,#EMAIL#,customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Je n'en possède pas et en n'Ai pas acheté,I don't own it and I don't buy it,I don't own it and I didn't buy it.,customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Allo??,Hello?,Hello?,customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Hello and thank you.,Bonjour et merci,Bonjour et merci.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Bonjour :),Hello,Hello :),customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Are you readiung a message?,Recevez-vous un message ?,Lisez-vous un message ?,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Oui, de notre échange","Yes, from our exchange","Yes, from our exchange.",customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,What does it read exactly?,Que lise-t-il exactement ?,Que peut-on y lire exactement ?,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Que le livre est protégé par les #PRS_ORG# et que je dois autoriser; ce que ça fait au moins 15 fois que je fais, défait et refait.","That the book is protected by #PRS_ORG# and that I have to allow; what it does at least 15 times I do, defeated and redone.",That the book is protected by #PRS_ORG# and that I have to allow it; that I've done it at least 15 times.,customer
