source_language,target_language,source,reference,doc_id,client_id,sender,lp
de,en,"Sehr geehrte Damen und Herren,","Dear Sir or Madam,",en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,customer,de-en
de,en,wir haben gestern unter der Bestellnr.,Yesterday we placed an order with order number,en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,customer,de-en
de,en,"#ALPHANUMERIC_ID# ein #PRS_ORG#, Samt in Zartrosa bei Ihnen bestellt.","#ALPHANUMERIC_ID# for the #PRS_ORG#, velvet in soft pink.",en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,customer,de-en
de,en,"Da wir jetzt erst bemerkten, dass sich Ihr Firmensitz in GB befindet stellt sich uns die Frage, ob es durch die aktuellen Coronaproblem zu erheblichen Lieferschwierigkeiten kommen kann.","Since we only noticed that your company is located in GB, the question arises whether the current corona virus situation can lead to considerable delivery difficulties.",en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,customer,de-en
de,en,Ist dem so?,Is that so?,en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,customer,de-en
de,en,mfg,"Kind regards,",en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,customer,de-en
de,en,#NAME#,#NAME#,en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,customer,de-en
en,de,Good Morning #NAME#,"Guten Morgen #NAME#,",en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,agent,en-de
en,de,Thank you for getting in touch!,"vielen Dank, dass Sie uns kontaktiert haben.",en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,agent,en-de
en,de,Please can you confirm the delivery address on the order so I can look into this for you?,"Können Sie bitte die Lieferadresse auf der Bestellung bestätigen, damit ich dies für Sie prüfen kann?",en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,agent,en-de
de,en,#ADDRESS#,#ADDRESS#,en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,customer,de-en
en,de,Thank you,Vielen Dank.,en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,agent,en-de
en,de,"So I can see your #PRS_ORG#, Samt in Zartrosa is currently shipping to our German Warehouse, so there should be no delays with this order","Ich kann also sehen, dass Ihr #PRS_ORG#, Samt in Zartrosa, derzeit in unser deutsches Lager versendet wird. Es sollte also keine Verzögerungen bei dieser Bestellung geben.",en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,agent,en-de
de,en,ok..dann hoffen wir mal das Beste...,"Alright, then we hope the best.",en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,customer,de-en
de,en,Danke für die Nachricht...Wir wünschen Ihnen ein frohes Weihnachtsfest und bleiben Sie gesund!!,Thank you for the message. We wish you a Merry Christmas and stay healthy!!!,en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,customer,de-en
de,en,#NAME#,#NAME#,en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,customer,de-en
en,de,Take care & stay safe,Mach Sie es gut &amp; bleiben Sie sicher.,en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,agent,en-de
en,de,Thank you for chatting today.,"Vielen Dank, dass Sie heute gechattet haben.",en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,agent,en-de
en,de,I'm going to end the chat now but just click the button if you have any other queries.,"Ich werde den Chat jetzt beenden, aber klicken Sie einfach auf die Schaltfläche, wenn Sie weitere Fragen haben.",en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,agent,en-de
en,de,You will shortly be receiving an email to rate our chat today.,"Sie erhalten in Kürze eine E-Mail, um unseren Chat heute zu bewerten.",en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,agent,en-de
en,de,If you have a moment may I ask that you do fill this in please or alternatively thank you again and have a wonderful day.,"Wenn Sie einen Moment Zeit haben, darf ich Sie bitten, diese auszufüllen. Ansonsten bedanke ich mich recht herzlich und wünsche Ihnen noch einen schönen Tag.",en_de_#CLIENT-01#_default020-12-20-19,#CLIENT-01#,agent,en-de
