source_language,target_language,source,reference,doc_id,client_id,sender
fr,en,"Bonjour,","Hello,",en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
fr,en,"Mes livres #PRS_ORG# empruntés restent toujours protégés par les #PRS_ORG#, même après avoir fait et suivi à la lettre votre résolutions de problème.","My borrowed #PRS_ORG# books are still protected by #PRS_ORG#, even after following your troubleshooting steps to the letter.",en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
fr,en,Ça ne fonctionne pas et ça fait plusieurs fois que je refais le processus...  Est-ce un problème de compatibilité avec #PRS_ORG#?,It doesn't work and I've been through this process several times... Is it a compatibility issue with #PRS_ORG#?,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
fr,en,Merci.,Thank you.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
fr,en,#EMAIL#,#EMAIL#,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
fr,en,Je n'en possède pas et en n'Ai pas acheté,I don't own it and I didn't buy it.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
fr,en,Allo??,Hello?,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
en,fr,Hello and thank you.,Bonjour et merci.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
fr,en,Bonjour :),Hello :),en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
en,fr,Are you readiung a message?,Lisez-vous un message ?,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
fr,en,"Oui, de notre échange","Yes, from our exchange.",en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
en,fr,What does it read exactly?,Que peut-on y lire exactement ?,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
fr,en,"Que le livre est protégé par les #PRS_ORG# et que je dois autoriser; ce que ça fait au moins 15 fois que je fais, défait et refait.",That the book is protected by #PRS_ORG# and that I have to allow it; that I've done it at least 15 times.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
fr,en,L'ordinateur est autorisé et la liseuse aussi,The computer has the permissions and so does the reader.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
en,fr,Exactly what does the message read?,Que dit exactement le message ?,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
fr,en,"Que le livre est protégé par les #PRS_ORG# et que je dois autoriser; ce que ça fait au moins 15 fois que je fais, défait et refait.",That the book is protected by #PRS_ORG# and that I have to allow it; that I've done it at least 15 times.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
fr,en,J'ai suivi toutes les consignes indiquées ici et ça ne fonctionne pas : #URL#,I followed all the instructions mentioned here and it does not work: #URL#,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
en,fr,Are you using a #PRS_ORG# or PC?,Utilisez-vous un #PRS_ORG# ou un PC ?,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
fr,en,PC,PC,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
en,fr,Which version #PRS_ORG#,Quelle version de #PRS_ORG# ?,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
fr,en,4.5,4.5,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
en,fr,"Please follow the instructions below,",Veuillez suivre les instructions ci-dessous.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,1) Delete/Remove your book file from the e-reader and #PRS_ORG#.,1) Supprimez/retirez le fichier de votre livre de la liseuse et de #PRS_ORG#.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,2) Uninstall your version #PRS_ORG# and install v3 (link here #PRS_ORG# downloads ),2) Désinstallez votre version de #PRS_ORG# et installez la v3 (lien ici #PRS_ORG# téléchargements),en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,2) Open version 3.,2) Ouvrez la version 3.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,3) Your authorization will carry over into version 3.,3) Votre autorisation sera transférée à la version 3.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,Deauthorize your computer from #PRS_ORG#.,Autorisez votre ordinateur à partir de #PRS_ORG#.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,Press Control-Shift-D (#PRS_ORG#) or Shift-Command-D (#PRS_ORG#) to deauthorize.,Appuyez sur Contrôle-Shift-D (#PRS_ORG#) ou Shift-Command-D (#PRS_ORG#) pour autoriser.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,4) Deauthorize e-reader in #PRS_ORG# v3,4) Déautorisez la liseuse dans #PRS_ORG# v3.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,5) (re) Authorize your computer in #PRS_ORG#.,5) (Ré)autorisez votre ordinateur dans #PRS_ORG#.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,6) (re) Authorize your e-reader in #PRS_ORG#,6) (Ré)autorisez votre liseuse dans #PRS_ORG#.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,GET THE BOOK,Obtenez le livre.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,7) Go back to your library website and download the book file again.,7) Retournez sur le site web de votre bibliothèque et téléchargez à nouveau le fichier du livre.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
