source_language,target_language,source,reference,doc_id,client_id,sender
ko,en,PRS-ORG에 문의해 주셔서 감사합니다.,Thank you for contacting PRS-ORG.,64619c16ab8523e90010b544,0015800001EMz0vAAD,customer
ko,en,제 이름은 NAME-F 입니다.,My name is NAME-F.,64619c16ab8523e90010b544,0015800001EMz0vAAD,customer
ko,en,고객님의 성함을 알려 주시겠습니까?,Can you tell us your name?,64619c16ab8523e90010b544,0015800001EMz0vAAD,customer
ko,en,NAME-N 입니다.,This is NAME-N.,64619c16ab8523e90010b544,0015800001EMz0vAAD,customer
en,ko,Hello NAME-M hope you are doing well.,안녕 하 세요 NAME-M가 잘 지내고 계시길 바랍니다.,64619c16ab8523e90010b544,0015800001EMz0vAAD,agent
en,ko,Please tell me how may I help you today?,무엇을 도와드릴까요?,64619c16ab8523e90010b544,0015800001EMz0vAAD,agent
ko,en,PRS-ORG 계정으로 PRS-ORG 로그인이 되지 않습니다.,I can't sign in to PRS-ORG with my PRS-ORG account.,64619c16ab8523e90010b544,0015800001EMz0vAAD,customer
ko,en,"비밀번호 초기화 메일을 요청하였으나, 메일을 받지 못했습니다.","I requested a password reset email, but I didn't receive it.",64619c16ab8523e90010b544,0015800001EMz0vAAD,customer
en,ko,As I understand you are unable to login to your account as it asks you to reset the password and you are not getting reset password email.,제가 알기로는 비밀번호를 재설정하라는 메시지가 표시된 후 비밀번호 이메일을 재설정하지 않기 때문에 계정에 로그인할 수 없으십니다.,64619c16ab8523e90010b544,0015800001EMz0vAAD,agent
en,ko,Am I correct?,맞습니까?,64619c16ab8523e90010b544,0015800001EMz0vAAD,agent
ko,en,비밀번호 재설정 메일이 도착하지 않습니다.,I don't receive a password reset email.,64619c16ab8523e90010b544,0015800001EMz0vAAD,customer
en,ko,Thank you for the information.,알려 주셔서 감사합니다.,64619c16ab8523e90010b544,0015800001EMz0vAAD,agent
en,ko,Do not worry I will try my best to help you in this.,걱정하지 마십시오. 최선을 다해 도와 드리겠습니다.,64619c16ab8523e90010b544,0015800001EMz0vAAD,agent
en,ko,Could you please share the email address registered with your PRS-ORG account?,PRS-ORG 계정에 등록된 이메일 주소를 공유해 주시겠습니까?,64619c16ab8523e90010b544,0015800001EMz0vAAD,agent
ko,en,EMAIL,EMAIL,64619c16ab8523e90010b544,0015800001EMz0vAAD,customer
en,ko,Thank you for the email.,이메일을 보내 주셔서 감사합니다.,64619c16ab8523e90010b544,0015800001EMz0vAAD,agent
en,ko,I have shared a reset password link on your email address.,고객님의 이메일 주소로 비밀번호 재설정 링크를 공유했습니다.,64619c16ab8523e90010b544,0015800001EMz0vAAD,agent
en,ko,I would request you to go through the link and reset the password.,링크를 통해 비밀번호를 재설정해 주시기 바랍니다.,64619c16ab8523e90010b544,0015800001EMz0vAAD,agent
en,ko,Once done do let me know.,완료되면 알려 주세요.,64619c16ab8523e90010b544,0015800001EMz0vAAD,agent
ko,en,네 확인해보겠습니다.,"Okay, let me check.",64619c16ab8523e90010b544,0015800001EMz0vAAD,customer
ko,en,잠시만 기다려주세요.,Please wait a moment.,64619c16ab8523e90010b544,0015800001EMz0vAAD,customer
ko,en,비밀번호 재설정 메일이 도착하였습니다.,A password reset email has been sent to you.,64619c16ab8523e90010b544,0015800001EMz0vAAD,customer
ko,en,NAME-F 도움을 주셔서 감사합니다.,NAME-F thank you for your help.,64619c16ab8523e90010b544,0015800001EMz0vAAD,customer
ko,en,큰 도움이 되었습니다.,It's been a great help.,64619c16ab8523e90010b544,0015800001EMz0vAAD,customer
ko,en,👍🏻,👍🏻,64619c16ab8523e90010b544,0015800001EMz0vAAD,customer
en,ko,You are most welcome.,감사합니다!,64619c16ab8523e90010b544,0015800001EMz0vAAD,agent
en,ko,"You have been amazingly calm and cooperative, much appreciated.",귀하의 협조에 대단히 감사합니다.,64619c16ab8523e90010b544,0015800001EMz0vAAD,agent
en,ko,Anything else from me at this moment!,이외에 다른 어떤 것이라도 저에게,64619c16ab8523e90010b544,0015800001EMz0vAAD,agent
en,ko,"Feel free to share, would love to get it clarified to you!",자유롭게 공유하세요. 명확하게 알려드리고 싶습니다!,64619c16ab8523e90010b544,0015800001EMz0vAAD,agent
ko,en,현재 ALPHANUMERICID 사용중인데요.,I'm currently using ALPHANUMERICID .,645dafb62e08407be8b3a6f4,0014I00001gtbedQAA,customer
ko,en,"ALPHANUMERICID을 추가로 구매해서, 기존에 사용하던 ALPHANUMERICID과 함께 PRS-ORG 구성이 가능할까요?",Can I purchase an additional ALPHANUMERICID and use it in a PRS-ORG configuration with my existing ALPHANUMERICID?,645dafb62e08407be8b3a6f4,0014I00001gtbedQAA,customer
en,ko,Hi this is NAME-M!,"안녕 하세요, 저는 NAME-M 이며",645dafb62e08407be8b3a6f4,0014I00001gtbedQAA,agent
en,ko,from PRS-ORG technical support.,PRS-ORG 기술 지원 소속입니다.,645dafb62e08407be8b3a6f4,0014I00001gtbedQAA,agent
en,ko,"Yes, you may set the ALPHANUMERICID as a child node of the ALPHANUMERICID but I would suggest setting the ALPHANUMERICID as the main node instead of a child node since the ALPHANUMERICID is much faster compared to ALPHANUMERICID",예  ALPHANUMERICID을 ALPHANUMERICID의 자식 노드로 설정하실 수 있지만 ALPHANUMERICID가 ALPHANUMERICID과 비교하면 자녀 노드 대신 기본 ALPHANUMERICID 노드로 설정하는 것이 좋습니다.,645dafb62e08407be8b3a6f4,0014I00001gtbedQAA,agent
ko,en,"현재는 ALPHANUMERICID만 사용하고 있어서, ALPHANUMERICID이 메인인데,","I'm currently only using the ALPHANUMERICID, so that's my main one,",645dafb62e08407be8b3a6f4,0014I00001gtbedQAA,customer
