source_language,target_language,source,reference,doc_id,client_id,sender,lp
pt-br,en,Olá!,Hello.,6000bb53029b3a19e4d75068,0015800000kvHb9AAE,customer,pt-br-en
pt-br,en,Um dos livros que eu comprei não está mais abrindo para leitura.,One of the books I bought is no longer opening for reading.,6000bb53029b3a19e4d75068,0015800000kvHb9AAE,customer,pt-br-en
pt-br,en,"Quando clico nele para ler, fecha o app.","When I click on it to read, it closes the app.",6000bb53029b3a19e4d75068,0015800000kvHb9AAE,customer,pt-br-en
pt-br,en,É o único livro que está acontecendo isso.,It is the only book that is doing this.,6000bb53029b3a19e4d75068,0015800000kvHb9AAE,customer,pt-br-en
pt-br,en,EMAIL,EMAIL,6000bb53029b3a19e4d75068,0015800000kvHb9AAE,customer,pt-br-en
pt-br,en,"A data exata eu não lembro, mas foi na semana passada, se não me engano","I can't remember the exact date, but it was last week, if I am not mistaken",6000bb53029b3a19e4d75068,0015800000kvHb9AAE,customer,pt-br-en
pt-br,en,Não posso sair daqui pra confirmar,I can't leave here to check,6000bb53029b3a19e4d75068,0015800000kvHb9AAE,customer,pt-br-en
en,pt-br,Thank you!,"Agradeço,",6000bb53029b3a19e4d75068,0015800000kvHb9AAE,agent,en-pt-br
en,pt-br,I will be more than happy to assist you.,Terei todo o prazer em ajudar!,6000bb53029b3a19e4d75068,0015800000kvHb9AAE,agent,en-pt-br
en,pt-br,Please allow me a few moments to verify your information,Me dê um momento para verificar suas informações,6000bb53029b3a19e4d75068,0015800000kvHb9AAE,agent,en-pt-br
en,pt-br,Which is the title with which you are having this issue?,Qual é o livro que você está tendo esse problema?,6000bb53029b3a19e4d75068,0015800000kvHb9AAE,agent,en-pt-br
pt-br,en,O discurso da imagem,O discurso da imagem,6000bb53029b3a19e4d75068,0015800000kvHb9AAE,customer,pt-br-en
pt-br,en,NAME-N,NAME-N,6000bb53029b3a19e4d75068,0015800000kvHb9AAE,customer,pt-br-en
en,pt-br,Thanks.,Agradeço!,6000bb53029b3a19e4d75068,0015800000kvHb9AAE,agent,en-pt-br
en,pt-br,"A few minutes, please","Um minuto, por favor",6000bb53029b3a19e4d75068,0015800000kvHb9AAE,agent,en-pt-br
en,pt-br,"To try and fix this issue, I removed the book from your library and then added it back.","Para tentar resolver esse problema, eu removi o livro da sua biblioteca e voltei a adicioná-lo.",6000bb53029b3a19e4d75068,0015800000kvHb9AAE,agent,en-pt-br
en,pt-br,"Please, sync the app and check if you can open it again.","Por favor, sincronize o app e verifique se você pode abri-lo novamente.",6000bb53029b3a19e4d75068,0015800000kvHb9AAE,agent,en-pt-br
en,pt-br,"If that is not the case, please sign out from your account in the app and then sign in again, then check if the issue has been fixed","Se esse não for o caso, saia da sua conta no app e faça login novamente e verifique se o problema foi resolvido",6000bb53029b3a19e4d75068,0015800000kvHb9AAE,agent,en-pt-br
pt-br,en,Ok,OK,6000bb53029b3a19e4d75068,0015800000kvHb9AAE,customer,pt-br-en
en,pt-br,"Whatever happens, please let me know",Por favor me avise sobre o que acontecer,6000bb53029b3a19e4d75068,0015800000kvHb9AAE,agent,en-pt-br
pt-br,en,"Obrigado por entrar em contato com a Ajuda PRS-ORG, o meu nome é NAME-M.","Thanks for contacting PRS-ORG Help, my name is NAME-M.",626eafcac4ce2e868c8409a1,0015800001EMz0vAAD,customer,pt-br-en
pt-br,en,"Para começar, pode-me indicar o seu nome por favor?","To beging with, can you tell me your name please?",626eafcac4ce2e868c8409a1,0015800001EMz0vAAD,customer,pt-br-en
pt-br,en,NAME-M 😎,NAME-M 😎,626eafcac4ce2e868c8409a1,0015800001EMz0vAAD,customer,pt-br-en
en,pt-br,Pleasure to meet you NAME-M,Prazer em conhecê-lo NAME-M.,626eafcac4ce2e868c8409a1,0015800001EMz0vAAD,agent,en-pt-br
en,pt-br,. I hope you are doing well.,Espero que você esteja indo bem.,626eafcac4ce2e868c8409a1,0015800001EMz0vAAD,agent,en-pt-br
